Date,Close,Average,Volume
1948/5/1,8.036,0.501,97637400
1948/6/1,12.181,0.302,132498100
1948/7/1,16.355,0.466,115029600
1948/8/1,14.849,0.282,124313000
1948/9/1,11.981,0.149,120176000
1948/10/1,6.246,0.155,83300000
1948/11/1,3.094,0.403,99886500
1948/12/1,3.51,0.801,88156600
1949/1/1,1.045,0.622,119084000
1949/2/1,1.166,0.499,140224000
1949/3/1,-1.079,0.367,179305000
1949/4/1,3.23,0.361,183073100
1949/5/1,9.276,0.415,157776500
1949/6/1,11.146,0.409,173717600
1949/7/1,15.661,0.287,146224400
1949/8/1,14.612,0.275,124057500
1949/9/1,14.838,0.164,82126800
1949/10/1,8.003,0.28,95127200
1949/11/1,4.978,0.372,132357400
1949/12/1,2.097,0.457,122918600
1950/1/1,-5.611,0.816,130246900
1950/2/1,-1.804,0.305,139248900
1950/3/1,0.09,0.439,97053600
1950/4/1,3.63,0.342,100363900
1950/5/1,8.106,0.239,94941700
1950/6/1,12.783,0.235,86879100
1950/7/1,14.604,0.443,147816200
1950/8/1,16.482,0.335,108845100
1950/9/1,12.326,0.23,73395000
1950/10/1,7.808,0.18,86393300
1950/11/1,3.137,0.475,83813800
1950/12/1,-0.056,0.626,110103000
1951/1/1,-3.433,0.527,90351100
1951/2/1,-2.421,0.662,89735800
1951/3/1,-4.199,0.558,81587800
1951/4/1,2.424,0.47,71117900
1951/5/1,5.322,0.616,76095600
1951/6/1,11.42,0.608,69134100
1951/7/1,14.42,0.442,50749300
1951/8/1,16.996,0.705,70709100
1951/9/1,13.274,0.399,105375200
1951/10/1,8.796,0.401,100023000
1951/11/1,4.14,0.423,60428200
1951/12/1,3.108,0.562,121095800
1952/1/1,-0.42,0.469,104732600
1952/2/1,-1.609,0.196,94851400
1952/3/1,-4.604,0.836,127989400
1952/4/1,3.792,0.699,117330500
1952/5/1,6.037,0.347,107010400
1952/6/1,11.251,0.559,77856800
1952/7/1,14.932,0.41,75315100
1952/8/1,14.174,0.317,73406200
1952/9/1,9.384,0.458,63175000
1952/10/1,4.746,0.399,109215400
1952/11/1,0.546,0.656,99367800
1952/12/1,-0.689,0.751,121993900
1953/1/1,-2.132,0.6,141283100
1953/2/1,-4.718,0.401,219328200
1953/3/1,1.574,0.582,101658200
1953/4/1,4.204,0.662,100984100
1953/5/1,7.624,0.581,94785600
1953/6/1,14.661,0.34,115581900
1953/7/1,15.7,0.57,96125400
1953/8/1,15.323,0.261,83039600
1953/9/1,11.459,0.332,86230200
1953/10/1,9.469,0.215,75525800
1953/11/1,4.927,0.553,72611700
1953/12/1,2.872,0.581,61176500
1954/1/1,-3.125,0.538,55410600
1954/2/1,-6.679,0.613,48734700
1954/3/1,-0.029,0.416,69708100
1954/4/1,1.036,0.473,85042300
1954/5/1,8.671,0.652,64335600
1954/6/1,11.81,0.602,63633500
1954/7/1,15.234,0.419,110690300
1954/8/1,15.186,0.243,153346200
1954/9/1,11.861,0.488,203179900
1954/10/1,6.826,0.207,141330700
1954/11/1,2.743,0.257,105032200
1954/12/1,3.087,0.323,109335100
1955/1/1,-2.105,0.403,106752100
1955/2/1,-4.976,0.361,66854200
1955/3/1,-3.712,0.336,50701700
1955/4/1,-0.798,0.61,75674900
1955/5/1,4.463,0.519,84580300
1955/6/1,10.26,0.377,91973000
1955/7/1,17.148,0.377,84093800
1955/8/1,18.026,0.386,97799100
1955/9/1,14.05,0.356,82416600
1955/10/1,7.055,0.386,121999500
1955/11/1,3.03,0.297,125995800
1955/12/1,-3.792,0.827,178058300
1956/1/1,-4.209,0.502,149590000
1956/2/1,-9.035,0.486,150118500
1956/3/1,-2.272,0.389,99507800
1956/4/1,-0.687,0.564,93375800
1956/5/1,7.243,0.773,81718700
1956/6/1,12.097,0.488,84142100
1956/7/1,14.627,0.529,142897300
1956/8/1,13.2,0.59,159941600
1956/9/1,11.064,0.265,129697400
1956/10/1,6.54,0.199,144125800
1956/11/1,-0.799,0.624,148522500
1956/12/1,0.778,0.392,133777700
